Date,Open,High,Low,Close,Volume
4/11/2013,120.17,120.49,119.89,120.14,7502145
4/12/2013,121.33,121.94,120.9,121.93,9254725
4/15/2013,122.13,123.03,121.87,122.99,12948302
4/16/2013,121.92,122.52,121.88,121.98,6554363
4/17/2013,122.3,123.53,122.3,122.79,9020829
4/18/2013,122.81,123.22,122.6,123.09,7010053
4/19/2013,122.94,122.98,122.63,122.83,5474711
4/22/2013,122.84,123.29,122.67,122.92,4519327
4/23/2013,123.26,123.79,122.38,122.49,8043281
4/24/2013,122.47,122.82,122.3,122.8,3673536
4/25/2013,122.25,122.37,122.1,122.27,4297745
4/26/2013,123.2,123.51,123.01,123.39,4899037
4/29/2013,123.58,123.73,122.76,122.94,4915923
4/30/2013,123.26,123.69,122.67,123.01,4477344
5/1/2013,123.46,124.26,123.43,124.01,10724568
5/2/2013,123.59,123.97,123.51,123.85,4171750
5/3/2013,122.16,122.19,120.83,120.93,11283678
5/6/2013,121.15,121.26,120.32,120.63,5121954
5/7/2013,120.19,120.5,120.05,120.16,5050718
5/8/2013,120.27,120.83,120.17,120.35,5732883
5/9/2013,120.51,121.32,119.98,120.04,7526916
5/10/2013,119.76,119.79,117.85,118.75,11690509
5/13/2013,117.88,118.19,117.63,117.84,8051126
5/14/2013,118.35,118.44,116.54,116.56,9236243
5/15/2013,117.53,117.72,116.42,117.34,14608535
5/16/2013,117.97,118.94,117.94,118.56,8460576
5/17/2013,117.95,118.15,116.98,117.06,7435806
5/20/2013,117.63,117.67,116.79,116.92,5839704
5/21/2013,116.93,117.87,116.42,117.84,7782074
5/22/2013,118.02,118.55,115.8,116.09,18361834
5/23/2013,117.15,117.24,115.77,116.64,9207043
5/24/2013,116.98,117.42,116.71,116.8,5357595
5/28/2013,116.09,116.27,113.82,113.84,13567727
5/29/2013,114.62,115.19,114.46,115.12,11298927
5/30/2013,115.25,115.37,114.53,114.84,10011762
5/31/2013,114.97,115.02,113.17,114.45,18158704
6/3/2013,113.78,115.49,113.7,114.78,15564441
6/4/2013,113.96,114.49,113.66,113.72,7504245
6/5/2013,114.29,115.32,114.13,115.29,8056963
6/6/2013,114.88,116.79,114.41,115.22,8925982
6/7/2013,114.22,114.83,113.16,113.16,10459370
6/10/2013,112.7,113.12,112.38,112.62,7892554
6/11/2013,112.27,113.96,112.12,113.96,12846675
6/12/2013,113,113.83,112.27,112.33,10193694
6/13/2013,113.07,114.17,112.89,114.09,12509284
6/14/2013,114.1,114.66,113.82,113.82,6679558
6/17/2013,114.02,114.08,113,113.22,5982073
6/18/2013,112.85,113.69,112.72,113.28,5192646
6/19/2013,113.74,113.79,111.62,112.11,17141072
6/20/2013,110.75,111.21,109.28,110.27,27901248
6/21/2013,110.15,110.41,108.37,108.4,19783702
6/24/2013,107.83,109.39,107.76,108.85,24588948
6/25/2013,108.9,109.02,107.86,107.88,11082695
6/26/2013,109,109.05,108.04,108.58,13582107
6/27/2013,109.54,109.97,108.95,109.69,12026600
6/28/2013,109.01,110.48,108.72,110.44,12017001
7/1/2013,109.73,110.5,109.43,110.41,5500732
7/2/2013,110.5,110.8,110.24,110.34,5333892
7/3/2013,110.31,110.65,110.01,110.01,3842216
7/5/2013,107.28,107.5,106.17,106.26,14513511
7/8/2013,107.07,107.56,106.95,107.29,8044167
7/9/2013,107.49,107.62,107.07,107.4,4700763
7/10/2013,107.39,107.39,106.3,106.56,10792107
7/11/2013,107.45,107.87,106.94,107.81,10035448
7/12/2013,108.34,108.47,107.34,107.72,4730803
7/15/2013,107.8,108.32,107.7,108.29,4574779
7/16/2013,108.43,108.76,108.27,108.66,3650166
7/17/2013,109.19,109.36,108.66,108.86,5931913
7/18/2013,108.61,108.67,107.48,107.5,9066875
7/19/2013,108.31,109.21,108.26,109.2,8523728
7/22/2013,109.36,109.69,109.13,109.36,3972518
7/23/2013,108.67,109,108.32,108.9,5015436
7/24/2013,107.65,107.89,106.79,107.52,8853022
7/25/2013,106.97,107.6,106.81,107.48,6443388
7/26/2013,108.04,108.28,107.64,108.14,6795438
7/29/2013,107.65,107.82,107.07,107.35,6397790
7/30/2013,107.71,107.76,107.05,107.31,3635903
7/31/2013,106.06,107.92,105.85,107.7,10483288
8/1/2013,106.49,106.49,105,105.36,13568578
8/2/2013,106.01,106.61,105.98,106.52,9570793
8/5/2013,106.19,106.25,105.54,105.7,6611758
8/6/2013,105.53,106.01,105.34,106.01,4590636
8/7/2013,106.17,106.94,106.17,106.8,7183382
8/8/2013,106.98,107.6,106.79,107.09,5510944
8/9/2013,106.6,107.27,106.48,107.26,3623454
